,,Per capita personal income (dollars),,
Armstrong,Pennsylvania,"44,955","47,058","51,200"
Beaver,Pennsylvania,"48,416","50,385","55,449"
Bedford,Pennsylvania,"41,911","42,762","46,246"
Berks,Pennsylvania,"49,549","51,606","55,953"
Blair,Pennsylvania,"46,236","47,573","52,096"
Bradford,Pennsylvania,"40,626","43,071","45,979"
Bucks,Pennsylvania,"73,655","76,502","80,627"
Butler,Pennsylvania,"58,575","60,995","64,732"
Cambria,Pennsylvania,"43,050","44,620","48,637"
Cameron,Pennsylvania,"48,251","48,108","53,654"
Carbon,Pennsylvania,"51,641","52,887","56,868"
Centre,Pennsylvania,"46,210","47,947","50,615"
Chester,Pennsylvania,"84,955","88,403","91,927"
Clarion,Pennsylvania,"40,756","42,015","45,427"
Clearfield,Pennsylvania,"44,839","46,443","50,648"
Clinton,Pennsylvania,"39,382","42,765","46,338"
Columbia,Pennsylvania,"42,286","43,558","47,464"
Crawford,Pennsylvania,"40,644","42,127","46,356"
Cumberland,Pennsylvania,"55,119","57,256","61,596"
Dauphin,Pennsylvania,"50,878","52,892","56,792"
Delaware,Pennsylvania,"67,223","69,950","73,588"
Elk,Pennsylvania,"48,420","48,791","53,592"
Erie,Pennsylvania,"44,740","46,259","50,536"
Fayette,Pennsylvania,"42,126","43,522","48,007"
Forest,Pennsylvania,"22,919","25,260","28,271"
Franklin,Pennsylvania,"46,435","48,014","51,979"
Fulton,Pennsylvania,"44,740","45,483","48,976"
Greene,Pennsylvania,"43,093","44,600","49,103"
Huntingdon,Pennsylvania,"37,957","39,381","43,555"
Indiana,Pennsylvania,"39,749","41,155","44,472"
Jefferson,Pennsylvania,"44,101","45,191","48,971"
Juniata,Pennsylvania,"44,984","45,746","50,257"
Lackawanna,Pennsylvania,"47,013","48,388","52,580"
Lancaster,Pennsylvania,"52,682","54,529","58,434"
Lawrence,Pennsylvania,"43,478","44,844","49,059"
Lebanon,Pennsylvania,"47,772","49,099","52,743"
Lehigh,Pennsylvania,"52,315","54,308","58,402"
Luzerne,Pennsylvania,"44,535","45,938","50,391"
Lycoming,Pennsylvania,"43,070","44,688","48,721"
McKean,Pennsylvania,"43,965","44,352","47,361"
Mercer,Pennsylvania,"42,121","43,102","47,063"
Mifflin,Pennsylvania,"39,351","40,186","44,242"
Monroe,Pennsylvania,"42,708","44,150","48,409"
Montgomery,Pennsylvania,"79,439","82,176","86,340"
Montour,Pennsylvania,"56,876","58,284","62,658"
Northampton,Pennsylvania,"54,861","56,607","60,179"
Northumberland,Pennsylvania,"41,104","42,867","47,336"
Perry,Pennsylvania,"45,096","46,662","50,095"
Philadelphia,Pennsylvania,"54,467","54,163","58,941"
Pike,Pennsylvania,"48,397","50,631","53,289"
Potter,Pennsylvania,"44,241","44,771","47,910"
Schuylkill,Pennsylvania,"41,982","43,420","47,425"
Snyder,Pennsylvania,"41,998","42,902","47,000"
Somerset,Pennsylvania,"41,252","42,782","47,035"
Sullivan,Pennsylvania,"46,008","48,102","51,266"
Susquehanna,Pennsylvania,"44,695","46,787","49,114"
Tioga,Pennsylvania,"39,902","41,923","45,319"
Union,Pennsylvania,"40,256","41,982","45,235"
Venango,Pennsylvania,"41,621","43,388","47,125"
Warren,Pennsylvania,"41,764","43,077","46,793"
Washington,Pennsylvania,"58,264","58,216","62,473"
Wayne,Pennsylvania,"44,004","45,429","49,172"
Westmoreland,Pennsylvania,"51,729","53,750","57,951"
Wyoming,Pennsylvania,"45,540","47,177","50,959"
York,Pennsylvania,"50,069","52,015","55,761"
Rhode Island,Rhode Island,"54,158","56,616","60,825"
Bristol,Rhode Island,"76,358","79,976","83,127"
Kent,Rhode Island,"58,728","61,199","65,299"
Newport,Rhode Island,"68,549","72,569","76,214"
Providence,Rhode Island,"47,139","49,258","53,844"
Washington,Rhode Island,"65,638","68,421","71,717"
South Carolina,South Carolina,"43,711","45,455","48,021"
Abbeville,South Carolina,"33,475","35,065","38,033"
Aiken,South Carolina,"42,510","44,503","47,118"
Allendale,South Carolina,"32,254","33,110","38,991"
Anderson,South Carolina,"39,926","41,306","43,459"
Bamberg,South Carolina,"33,122","34,611","37,596"
Barnwell,South Carolina,"33,479","35,961","38,682"
Beaufort,South Carolina,"56,461","59,377","61,298"
Berkeley,South Carolina,"40,895","41,968","44,134"
Calhoun,South Carolina,"39,327","41,620","44,655"
Charleston,South Carolina,"60,885","64,486","66,656"
Cherokee,South Carolina,"32,282","33,738","36,567"
Chester,South Carolina,"33,259","35,664","38,931"
Chesterfield,South Carolina,"31,234","32,535","34,477"
Clarendon,South Carolina,"33,477","34,665","38,001"
Colleton,South Carolina,"35,446","37,026","40,336"
Darlington,South Carolina,"37,281","39,085","41,928"
Dillon,South Carolina,"28,730","30,468","33,030"
Dorchester,South Carolina,"39,053","40,840","42,662"
Edgefield,South Carolina,"35,665","37,506","41,178"
Fairfield,South Carolina,"37,075","38,277","41,827"
Florence,South Carolina,"41,586","43,759","46,749"
Georgetown,South Carolina,"47,054","49,260","51,775"
Greenville,South Carolina,"48,361","49,742","52,213"
Greenwood,South Carolina,"36,498","38,031","40,786"
Hampton,South Carolina,"32,353","33,833","39,185"
Horry,South Carolina,"38,025","39,633","42,110"
Jasper,South Carolina,"30,350","31,847","34,446"
Kershaw,South Carolina,"41,317","43,196","45,782"
Lancaster,South Carolina,"50,863","50,584","52,999"
Laurens,South Carolina,"34,948","35,796","38,108"
Lee,South Carolina,"31,482","33,349","36,638"
Lexington,South Carolina,"46,715","47,789","50,188"
McCormick,South Carolina,"38,947","39,949","42,422"
Marion,South Carolina,"31,711","33,465","36,606"
Marlboro,South Carolina,"31,809","32,379","35,748"
Newberry,South Carolina,"37,278","39,210","41,910"
Oconee,South Carolina,"44,204","45,471","47,511"
Orangeburg,South Carolina,"33,856","35,700","38,730"
Pickens,South Carolina,"38,546","39,845","41,770"
Richland,South Carolina,"45,001","46,806","49,678"
Saluda,South Carolina,"34,123","35,242","37,637"
Spartanburg,South Carolina,"42,669","44,151","46,543"
Sumter,South Carolina,"38,697","39,812","43,003"
Union,South Carolina,"32,501","34,618","37,515"
Williamsburg,South Carolina,"32,238","34,626","38,528"
York,South Carolina,"47,270","48,729","51,772"
South Dakota,South Dakota,"52,346","54,725","59,281"
Aurora,South Dakota,"38,650","40,817","50,586"
Beadle,South Dakota,"48,196","49,575","54,493"
Bennett,South Dakota,"34,870","35,761","41,856"
Bon Homme,South Dakota,"38,666","40,508","43,555"
Brookings,South Dakota,"45,723","46,641","49,278"
Brown,South Dakota,"54,506","55,796","62,587"
Brule,South Dakota,"46,740","45,527","54,352"
Buffalo,South Dakota,"22,516","20,290","26,748"
Butte,South Dakota,"38,305","39,261","41,250"
Campbell,South Dakota,"51,225","46,477","71,645"
Charles Mix,South Dakota,"38,892","40,591","47,405"
Clark,South Dakota,"46,343","45,543","70,492"
Clay,South Dakota,"39,107","41,042","43,533"
Codington,South Dakota,"49,412","51,774","55,331"
Corson,South Dakota,"26,401","26,983","31,442"
Custer,South Dakota,"48,601","50,722","53,169"
Davison,South Dakota,"51,328","53,116","55,832"
Day,South Dakota,"47,677","46,160","64,064"
Deuel,South Dakota,"49,128","50,426","62,036"
Dewey,South Dakota,"35,774","37,947","45,889"
Douglas,South Dakota,"51,585","58,104","62,134"
Edmunds,South Dakota,"55,787","53,872","67,747"
Fall River,South Dakota,"45,718","47,264","51,509"
Faulk,South Dakota,"52,102","54,756","67,007"
Grant,South Dakota,"54,518","54,847","65,019"
Gregory,South Dakota,"43,087","44,000","50,244"
Haakon,South Dakota,"55,317","49,797","66,588"
Hamlin,South Dakota,"43,833","43,006","51,773"
Hand,South Dakota,"56,496","54,692","69,452"
Hanson,South Dakota,"61,066","64,561","72,728"
Harding,South Dakota,"45,002","49,543","50,355"
Hughes,South Dakota,"51,546","54,779","55,872"
Hutchinson,South Dakota,"50,158","55,464","59,341"
Hyde,South Dakota,"48,354","47,737","64,756"
Jackson,South Dakota,"27,166","26,065","30,705"
Jerauld,South Dakota,"40,563","38,762","49,991"
Jones,South Dakota,"51,104","56,772","59,264"
Kingsbury,South Dakota,"54,927","57,411","70,268"
Lake,South Dakota,"48,748","51,379","57,367"
Lawrence,South Dakota,"51,448","54,028","55,779"
Lincoln,South Dakota,"69,095","72,019","74,493"
Lyman,South Dakota,"40,793","40,660","46,934"
McCook,South Dakota,"48,670","54,193","60,576"
McPherson,South Dakota,"43,890","42,136","60,086"
Marshall,South Dakota,"46,592","48,363","65,540"
Meade,South Dakota,"43,728","44,980","49,875"
Mellette,South Dakota,"30,341","28,996","33,840"
Miner,South Dakota,"46,460","49,665","65,604"
Minnehaha,South Dakota,"58,244","62,084","64,846"
Moody,South Dakota,"50,141","50,945","60,754"
Oglala Lakota,South Dakota,"25,301","25,631","29,721"
Pennington,South Dakota,"51,870","53,913","56,496"
Perkins,South Dakota,"39,720","39,976","48,591"
Potter,South Dakota,"67,134","76,433","87,915"
Roberts,South Dakota,"37,798","37,023","46,059"
Sanborn,South Dakota,"46,747","51,917","61,709"
Spink,South Dakota,"55,043","54,447","71,321"
Stanley,South Dakota,"57,943","60,316","60,870"
Sully,South Dakota,"73,202","77,485","100,301"
Todd,South Dakota,"24,957","25,643","28,440"
Tripp,South Dakota,"49,622","49,545","56,765"
Turner,South Dakota,"51,734","63,313","69,250"
Union,South Dakota,"115,194","119,482","123,000"
Walworth,South Dakota,"46,274","46,799","54,033"
Yankton,South Dakota,"49,826","51,910","55,638"
Ziebach,South Dakota,"19,606","19,084","26,103"
Tennessee,Tennessee,"47,203","49,009","51,046"
Anderson,Tennessee,"41,893","43,407","46,225"
Bedford,Tennessee,"37,672","39,615","41,795"
Benton,Tennessee,"33,306","34,016","36,438"
Bledsoe,Tennessee,"25,985","27,368","29,572"
Blount,Tennessee,"44,203","45,831","48,601"
Bradley,Tennessee,"39,210","40,232","42,546"
Campbell,Tennessee,"33,392","34,786","37,229"
Cannon,Tennessee,"35,134","37,077","39,178"
Carroll,Tennessee,"35,270","37,737","38,461"
Carter,Tennessee,"33,568","34,405","36,431"
Cheatham,Tennessee,"44,359","46,759","48,180"
Chester,Tennessee,"33,333","34,545","38,107"
Claiborne,Tennessee,"35,044","36,101","38,347"
Clay,Tennessee,"31,187","31,783","34,456"
Cocke,Tennessee,"32,009","33,399","36,279"
Coffee,Tennessee,"38,653","40,850","42,990"
Crockett,Tennessee,"37,655","41,632","42,410"
Cumberland,Tennessee,"36,788","38,091","40,087"
Davidson,Tennessee,"68,709","72,602","71,659"
Decatur,Tennessee,"41,223","42,266","44,401"
DeKalb,Tennessee,"40,084","40,279","42,229"
Dickson,Tennessee,"40,690","42,900","44,476"
Dyer,Tennessee,"39,632","41,977","44,761"
Fayette,Tennessee,"54,901","57,066","59,214"
Fentress,Tennessee,"32,626","34,497","36,398"
Franklin,Tennessee,"38,861","40,520","42,890"
Gibson,Tennessee,"37,329","39,528","41,846"
Giles,Tennessee,"37,826","38,704","41,074"
Grainger,Tennessee,"33,784","34,803","37,480"
Greene,Tennessee,"36,049","37,027","39,310"
Grundy,Tennessee,"32,199","33,228","36,129"
Hamblen,Tennessee,"36,902","38,247","40,627"
Hamilton,Tennessee,"51,815","53,075","55,911"
Hancock,Tennessee,"26,585","28,122","31,243"
Hardeman,Tennessee,"28,861","30,752","33,036"
Hardin,Tennessee,"39,115","40,449","43,171"
Hawkins,Tennessee,"34,219","35,014","37,460"
Haywood,Tennessee,"32,461","35,375","37,669"
Henderson,Tennessee,"35,513","37,241","39,940"
Henry,Tennessee,"40,499","42,222","44,075"
Hickman,Tennessee,"32,957","34,738","36,316"
Houston,Tennessee,"31,883","33,950","36,777"
Humphreys,Tennessee,"37,768","39,622","41,569"
Jackson,Tennessee,"30,794","32,114","34,645"
Jefferson,Tennessee,"36,866","37,933","40,493"
Johnson,Tennessee,"31,966","33,474","35,745"
Knox,Tennessee,"50,433","52,422","54,642"
Lake,Tennessee,"20,965","24,660","25,921"
Lauderdale,Tennessee,"29,597","32,428","35,267"
Lawrence,Tennessee,"34,072","35,698","37,918"
Lewis,Tennessee,"34,352","36,353","38,830"
Lincoln,Tennessee,"39,908","42,372","45,271"
Loudon,Tennessee,"49,063","51,615","53,519"
McMinn,Tennessee,"36,153","37,429","39,986"
McNairy,Tennessee,"32,423","33,512","35,687"
Macon,Tennessee,"32,693","33,428","35,472"
Madison,Tennessee,"42,109","43,702","46,574"
Marion,Tennessee,"38,905","39,769","42,471"
Marshall,Tennessee,"37,841","39,833","42,427"
Maury,Tennessee,"42,735","44,739","47,100"
Meigs,Tennessee,"33,424","34,845","37,539"
Monroe,Tennessee,"34,086","35,367","37,822"
Montgomery,Tennessee,"42,296","43,499","45,871"
Moore,Tennessee,"39,943","42,431","44,085"
Morgan,Tennessee,"29,771","31,405","33,373"
Obion,Tennessee,"40,075","42,277","45,152"
Overton,Tennessee,"34,194","34,877","37,105"
Perry,Tennessee,"34,223","35,430","37,130"
Pickett,Tennessee,"39,291","39,620","40,804"
Polk,Tennessee,"33,383","34,807","36,639"
Putnam,Tennessee,"39,472","40,731","42,722"
Rhea,Tennessee,"34,323","35,370","38,408"
Roane,Tennessee,"40,960","42,389","44,706"
Robertson,Tennessee,"42,230","44,732","46,746"
Rutherford,Tennessee,"41,782","43,095","45,374"
Scott,Tennessee,"30,328","30,963","33,425"
Sequatchie,Tennessee,"37,958","39,241","42,009"
Sevier,Tennessee,"40,421","42,321","44,209"
Shelby,Tennessee,"49,022","50,468","53,855"
Smith,Tennessee,"38,691","40,995","42,452"
Stewart,Tennessee,"40,457","41,972","44,108"
Sullivan,Tennessee,"42,652","43,657","45,789"
Sumner,Tennessee,"49,180","50,947","52,403"
Tipton,Tennessee,"39,082","40,778","43,147"
Trousdale,Tennessee,"30,371","31,367","32,960"
Unicoi,Tennessee,"35,914","37,152","39,357"
Union,Tennessee,"32,354","33,203","35,370"
Van Buren,Tennessee,"30,522","32,380","34,084"
Warren,Tennessee,"34,230","35,394","37,857"
Washington,Tennessee,"43,345","45,216","47,940"
Wayne,Tennessee,"27,894","29,251","32,631"
Weakley,Tennessee,"36,067","38,611","41,159"
White,Tennessee,"32,655","34,442","36,062"
Williamson,Tennessee,"94,251","95,520","94,748"
Wilson,Tennessee,"50,027","51,689","53,628"
Texas,Texas,"51,813","53,266","55,129"
Anderson,Texas,"34,537","36,332","38,807"
Andrews,Texas,"51,303","52,626","50,248"
Angelina,Texas,"39,191","40,074","42,536"
Aransas,Texas,"51,761","53,776","54,374"
Archer,Texas,"49,747","52,661","55,290"
Armstrong,Texas,"52,242","54,733","60,233"
Atascosa,Texas,"38,275","39,511","41,599"
Austin,Texas,"50,078","54,075","55,686"
Bailey,Texas,"42,425","44,519","49,737"
Bandera,Texas,"45,407","47,434","48,461"
Bastrop,Texas,"37,728","39,953","42,177"
Baylor,Texas,"44,551","47,327","53,984"
Bee,Texas,"29,029","30,533","31,834"
Bell,Texas,"43,153","44,088","46,594"
Bexar,Texas,"47,148","46,569","48,569"
Blanco,Texas,"54,671","56,996","58,805"
Borden,Texas,"70,068","72,732","66,783"
Bosque,Texas,"41,643","42,939","45,635"
Bowie,Texas,"40,037","41,325","44,151"
Brazoria,Texas,"47,606","50,207","51,812"
Brazos,Texas,"40,673","41,414","43,430"
Brewster,Texas,"47,655","49,708","52,483"
Briscoe,Texas,"42,860","45,326","45,758"
Brooks,Texas,"34,943","36,599","41,529"
Brown,Texas,"39,471","40,449","42,771"
Burleson,Texas,"46,046","47,155","49,975"
Burnet,Texas,"49,472","51,949","53,751"
Caldwell,Texas,"33,879","36,243","38,734"
Calhoun,Texas,"44,695","53,562","52,180"
Callahan,Texas,"40,619","43,250","45,798"
Cameron,Texas,"28,978","30,187","33,690"
Camp,Texas,"37,959","37,569","40,272"
Carson,Texas,"43,792","49,781","48,021"
Cass,Texas,"36,686","38,115","41,275"
Castro,Texas,"59,156","66,391","71,612"
Chambers,Texas,"55,941","57,321","59,687"
Cherokee,Texas,"34,955","35,533","38,190"
Childress,Texas,"29,745","31,161","34,028"
Clay,Texas,"43,189","45,128","48,038"
Cochran,Texas,"37,200","39,837","44,903"
Coke,Texas,"42,101","42,732","45,856"
Coleman,Texas,"41,128","43,843","47,128"
Collin,Texas,"67,589","69,451","71,246"
Collingsworth,Texas,"37,712","42,198","44,903"
Colorado,Texas,"46,250","48,393","51,732"
Comal,Texas,"61,015","61,124","62,994"
Comanche,Texas,"40,867","43,454","47,959"
Concho,Texas,"34,054","36,149","41,219"
Cooke,Texas,"52,068","52,968","54,759"
Coryell,Texas,"35,033","35,551","38,222"
Cottle,Texas,"64,041","60,462","68,268"
Crane,Texas,"49,725","53,114","49,749"
Crockett,Texas,"43,427","45,530","46,364"
Crosby,Texas,"34,922","39,390","41,146"
Culberson,Texas,"55,204","60,264","69,350"
Dallam,Texas,"57,869","62,851","65,132"
Dallas,Texas,"60,971","63,591","65,401"
Dawson,Texas,"41,559","40,148","42,595"
Deaf Smith,Texas,"47,907","51,218","54,950"
Delta,Texas,"38,536","40,320","43,628"
Denton,Texas,"58,825","60,535","63,283"
DeWitt,Texas,"63,031","63,242","60,890"
Dickens,Texas,"32,798","34,922","38,730"
Dimmit,Texas,"38,089","41,979","44,874"
Donley,Texas,"45,390","43,788","45,336"
Duval,Texas,"37,548","38,598","42,410"
Eastland,Texas,"78,863","66,664","65,416"
Ector,Texas,"49,458","52,079","49,887"
Edwards,Texas,"42,213","47,478","55,329"
Ellis,Texas,"45,468","46,874","49,333"
El Paso,Texas,"36,427","38,771","41,818"
Erath,Texas,"39,653","41,866","43,900"
Falls,Texas,"35,067","35,960","39,865"
Fannin,Texas,"38,549","40,251","42,562"
Fayette,Texas,"54,369","56,358","57,962"
Fisher,Texas,"48,993","45,922","49,100"
Floyd,Texas,"38,779","43,301","42,627"
Foard,Texas,"46,718","45,431","52,630"
Fort Bend,Texas,"59,392","61,061","61,791"
Franklin,Texas,"40,359","41,822","44,725"
Freestone,Texas,"37,768","38,737","40,407"
Frio,Texas,"29,861","31,185","33,407"
Gaines,Texas,"41,360","45,941","47,826"
Galveston,Texas,"53,461","56,611","57,941"
Garza,Texas,"31,554","31,048","31,223"
Gillespie,Texas,"63,954","66,866","68,885"
Glasscock,Texas,"96,395","94,077","87,334"
Goliad,Texas,"45,387","47,874","49,513"
Gonzales,Texas,"46,717","46,057","47,272"
Gray,Texas,"42,474","44,064","45,091"
Grayson,Texas,"43,052","44,585","47,045"
Gregg,Texas,"46,078","47,466","49,152"
Grimes,Texas,"36,328","37,467","39,033"
Guadalupe,Texas,"45,958","47,417","49,405"
Hale,Texas,"33,409","36,389","38,674"
Hall,Texas,"31,295","34,290","35,416"
Hamilton,Texas,"60,461","63,867","65,685"
Hansford,Texas,"58,469","66,689","66,588"
Hardeman,Texas,"42,562","42,503","45,863"
Hardin,Texas,"46,591","47,363","49,159"
Harris,Texas,"58,685","59,207","60,183"
Harrison,Texas,"41,973","44,022","45,396"
Hartley,Texas,"64,298","73,797","76,005"
Haskell,Texas,"37,965","44,998","46,070"
Hays,Texas,"44,699","47,854","50,212"
Hemphill,Texas,"58,277","61,126","61,340"
Henderson,Texas,"39,243","41,161","43,356"
Hidalgo,Texas,"27,007","28,091","31,153"
Hill,Texas,"40,651","42,317","44,776"
Hockley,Texas,"41,203","43,215","46,051"
Hood,Texas,"51,040","52,977","55,132"
Hopkins,Texas,"40,412","42,690","45,219"
Houston,Texas,"39,000","41,048","44,693"
Howard,Texas,"44,419","44,014","45,105"
Hudspeth,Texas,"22,353","23,296","26,835"
Hunt,Texas,"38,729","40,177","42,819"
Hutchinson,Texas,"42,101","44,195","46,860"
Irion,Texas,"73,627","71,669","72,353"
Jack,Texas,"44,529","40,066","41,038"
Jackson,Texas,"42,617","48,020","47,642"
Jasper,Texas,"40,129","41,290","43,486"
Jeff Davis,Texas,"43,170","43,850","48,623"
Jefferson,Texas,"43,391","44,230","46,547"
Jim Hogg,Texas,"32,130","33,639","36,847"
Jim Wells,Texas,"40,445","42,450","46,483"
Johnson,Texas,"43,299","44,836","47,654"
Jones,Texas,"31,212","33,482","35,520"
Karnes,Texas,"60,754","64,024","61,330"
Kaufman,Texas,"43,674","44,220","47,580"
Kendall,Texas,"82,514","83,573","84,853"
Kenedy,Texas,"37,210","42,966","46,296"
Kent,Texas,"57,203","48,894","51,139"
Kerr,Texas,"52,045","54,523","56,093"
Kimble,Texas,"44,065","44,909","48,071"
King,Texas,"86,436","82,307","81,541"
Kinney,Texas,"31,385","32,336","35,119"
Kleberg,Texas,"39,669","41,456","43,560"
Knox,Texas,"39,491","39,629","42,857"
Lamar,Texas,"41,325","43,579","46,538"
Lamb,Texas,"41,120","46,446","50,667"
Lampasas,Texas,"50,864","51,862","54,153"
La Salle,Texas,"40,823","40,404","41,114"
Lavaca,Texas,"53,815","56,589","57,399"
Lee,Texas,"48,145","54,966","53,791"
Leon,Texas,"40,510","41,033","42,878"
Liberty,Texas,"37,886","38,540","40,904"
Limestone,Texas,"37,180","38,406","41,072"
Lipscomb,Texas,"72,573","87,161","83,655"
Live Oak,Texas,"37,159","37,285","38,734"
Llano,Texas,"49,385","50,966","52,538"
Loving,Texas,"56,631","55,200","49,072"
Lubbock,Texas,"43,393","44,802","46,502"
Lynn,Texas,"40,544","44,792","40,351"
McCulloch,Texas,"39,967","39,008","41,306"
McLennan,Texas,"41,743","42,699","45,772"
McMullen,Texas,"74,644","74,583","73,356"
Madison,Texas,"31,627","32,099","35,865"
Marion,Texas,"39,088","41,209","42,536"
Martin,Texas,"68,227","67,054","64,602"
Mason,Texas,"47,455","48,083","49,261"
Matagorda,Texas,"43,116","46,469","48,150"
Maverick,Texas,"30,707","32,061","35,133"
Medina,Texas,"40,848","42,578","44,456"
Menard,Texas,"37,780","38,678","41,220"
Midland,Texas,"132,698","138,141","126,631"
Milam,Texas,"36,326","37,505","40,552"
Mills,Texas,"39,349","40,522","45,663"
Mitchell,Texas,"35,065","35,671","37,113"
Montague,Texas,"41,802","42,644","44,790"
Montgomery,Texas,"63,293","64,853","65,516"
Moore,Texas,"43,547","47,887","51,476"
Morris,Texas,"41,109","40,229","43,036"
Motley,Texas,"30,207","32,567","39,505"
Nacogdoches,Texas,"38,324","39,299","41,188"
Navarro,Texas,"38,923","40,543","42,869"
Newton,Texas,"33,437","34,666","36,839"
Nolan,Texas,"43,776","45,578","48,017"
Nueces,Texas,"43,348","46,242","47,999"
Ochiltree,Texas,"58,125","60,484","59,892"
Oldham,Texas,"52,390","52,997","56,033"
Orange,Texas,"45,164","46,227","48,173"
Palo Pinto,Texas,"40,748","42,930","45,095"
Panola,Texas,"46,432","47,042","47,191"
Parker,Texas,"55,469","57,254","59,929"
Parmer,Texas,"45,366","51,698","57,137"
Pecos,Texas,"38,577","39,992","40,391"
Polk,Texas,"40,103","41,167","42,830"
Potter,Texas,"44,774","47,610","49,498"
Presidio,Texas,"46,080","47,865","53,222"
Rains,Texas,"34,847","35,751","38,200"
Randall,Texas,"48,721","50,022","52,391"
Reagan,Texas,"54,985","53,769","54,091"
Real,Texas,"35,491","36,931","40,667"
Red River,Texas,"41,295","44,051","47,762"
Reeves,Texas,"43,840","46,793","44,232"
Refugio,Texas,"45,164","47,638","48,266"
Roberts,Texas,"48,850","50,747","52,804"
Robertson,Texas,"42,135","43,768","45,866"
Rockwall,Texas,"61,738","62,986","64,943"
Runnels,Texas,"39,784","42,472","44,352"
Rusk,Texas,"37,239","38,359","39,551"
Sabine,Texas,"35,420","37,061","40,477"
San Augustine,Texas,"39,822","43,305","43,642"
San Jacinto,Texas,"35,643","37,847","39,298"
San Patricio,Texas,"45,084","46,849","48,391"
San Saba,Texas,"41,289","41,757","40,340"
Schleicher,Texas,"41,128","42,520","46,015"
Scurry,Texas,"43,274","45,708","47,272"
Shackelford,Texas,"111,749","90,579","86,294"
Shelby,Texas,"42,506","41,739","44,038"
Sherman,Texas,"80,122","93,968","91,855"
Smith,Texas,"56,084","55,986","57,076"
Somervell,Texas,"45,735","47,630","50,164"
Starr,Texas,"26,980","27,922","32,146"
Stephens,Texas,"42,602","44,653","45,759"
Sterling,Texas,"64,156","62,966","63,329"
Stonewall,Texas,"60,547","57,909","59,419"
Sutton,Texas,"64,449","62,893","56,622"
Swisher,Texas,"51,211","54,587","53,734"
Tarrant,Texas,"52,213","53,375","55,615"
Taylor,Texas,"46,240","48,691","52,429"
Terrell,Texas,"47,154","50,578","61,631"
Terry,Texas,"35,316","38,016","41,634"
Throckmorton,Texas,"38,958","42,233","44,582"
Titus,Texas,"36,267","37,964","41,207"
Tom Green,Texas,"48,373","51,613","52,947"
Travis,Texas,"70,141","71,633","74,032"
Trinity,Texas,"35,801","37,399","39,206"
Tyler,Texas,"32,061","33,629","36,694"
Upshur,Texas,"37,300","38,084","39,674"
Upton,Texas,"45,581","47,785","50,428"
Uvalde,Texas,"40,222","42,217","45,255"
Val Verde,Texas,"36,051","38,543","41,079"
Van Zandt,Texas,"38,799","40,099","42,656"
Victoria,Texas,"47,834","52,632","53,881"
Walker,Texas,"29,144","31,115","32,334"
Waller,Texas,"41,621","42,974","44,779"
Ward,Texas,"50,352","54,632","48,109"
Washington,Texas,"55,236","57,635","58,426"
Webb,Texas,"31,907","33,305","35,626"
Wharton,Texas,"43,674","46,427","48,384"
Wheeler,Texas,"44,291","44,936","48,691"
Wichita,Texas,"42,837","44,206","46,322"
Wilbarger,Texas,"45,843","50,096","49,537"
Willacy,Texas,"27,109","28,083","31,710"
Williamson,Texas,"52,030","53,713","56,693"
Wilson,Texas,"46,283","48,249","49,745"
Winkler,Texas,"61,309","65,720","62,259"
Wise,Texas,"44,136","45,745","48,435"
Wood,Texas,"39,038","40,596","42,978"
Yoakum,Texas,"43,435","44,486","44,395"
Young,Texas,"51,210","51,824","53,227"
Zapata,Texas,"28,727","29,004","28,981"
Zavala,Texas,"29,021","30,947","33,303"
Utah,Utah,"46,377","49,115","52,204"
Beaver,Utah,"35,149","39,246","41,667"
Box Elder,Utah,"37,853","40,330","44,131"
Cache,Utah,"39,707","42,075","44,947"
Carbon,Utah,"38,356","40,207","42,459"
Daggett,Utah,"42,613","47,457","48,761"
Davis,Utah,"46,123","48,778","51,852"
Duchesne,Utah,"36,025","38,574","40,780"
Emery,Utah,"33,387","34,753","38,057"
Garfield,Utah,"37,368","39,502","44,411"
Grand,Utah,"55,584","58,620","60,928"
Iron,Utah,"32,163","34,048","36,412"
Juab,Utah,"37,396","38,699","42,531"
Kane,Utah,"40,315","41,604","45,074"
Millard,Utah,"35,320","37,507","41,843"
Morgan,Utah,"53,152","56,156","58,631"
Piute,Utah,"43,381","45,577","48,595"
Rich,Utah,"36,973","39,387","42,762"
Salt Lake,Utah,"52,130","55,481","59,077"
San Juan,Utah,"26,283","28,142","30,198"
Sanpete,Utah,"29,053","29,974","32,927"
Sevier,Utah,"34,836","36,419","39,383"
Summit,Utah,"144,148","152,310","156,537"
Tooele,Utah,"36,832","37,978","41,301"
Uintah,Utah,"31,244","31,965","32,945"
Utah,Utah,"40,961","43,611","46,465"
Wasatch,Utah,"56,575","59,263","61,653"
Washington,Utah,"39,964","41,869","43,782"
Wayne,Utah,"39,667","41,350","46,145"
Weber,Utah,"41,132","43,477","46,675"
Vermont,Vermont,"53,516","55,396","59,187"
Addison,Vermont,"50,772","52,605","55,981"
Bennington,Vermont,"53,174","55,291","59,131"
Caledonia,Vermont,"41,136","43,778","48,094"
Chittenden,Vermont,"59,820","61,569","64,605"
Essex,Vermont,"37,634","40,355","44,173"
Franklin,Vermont,"46,493","48,688","52,181"
Grand Isle,Vermont,"58,689","60,524","64,231"
Lamoille,Vermont,"53,113","55,022","59,635"
Orange,Vermont,"47,509","49,449","53,146"
Orleans,Vermont,"43,816","45,535","49,998"
