,,Per capita personal income (dollars),,
St. Lucie,Florida,"40,514","41,457","43,970"
Santa Rosa,Florida,"45,379","46,784","49,472"
Sarasota,Florida,"66,930","69,004","70,884"
Seminole,Florida,"49,435","51,620","53,403"
Sumter,Florida,"48,902","53,411","54,533"
Suwannee,Florida,"33,421","33,363","35,987"
Taylor,Florida,"30,733","30,654","33,227"
Union,Florida,"21,816","22,495","24,593"
Volusia,Florida,"42,851","44,427","46,475"
Wakulla,Florida,"37,246","37,560","39,938"
Walton,Florida,"64,401","66,036","69,862"
Washington,Florida,"30,203","30,537","32,862"
Georgia,Georgia,"46,882","48,765","51,780"
Appling,Georgia,"33,620","35,558","39,199"
Atkinson,Georgia,"28,962","30,251","31,938"
Bacon,Georgia,"31,516","32,784","38,281"
Baker,Georgia,"35,175","39,932","43,156"
Baldwin,Georgia,"32,534","33,865","36,399"
Banks,Georgia,"35,862","35,990","37,333"
Barrow,Georgia,"36,720","37,318","40,435"
Bartow,Georgia,"38,310","39,755","42,734"
Ben Hill,Georgia,"31,250","32,539","36,234"
Berrien,Georgia,"31,117","32,573","35,260"
Bibb,Georgia,"40,433","41,517","44,830"
Bleckley,Georgia,"33,520","34,464","36,712"
Brantley,Georgia,"27,046","27,472","30,007"
Brooks,Georgia,"34,708","36,742","40,221"
Bryan,Georgia,"53,382","53,404","56,648"
Bulloch,Georgia,"32,360","32,718","35,376"
Burke,Georgia,"34,940","38,419","41,973"
Butts,Georgia,"34,243","34,761","37,403"
Calhoun,Georgia,"23,262","25,701","28,426"
Camden,Georgia,"35,872","36,807","39,262"
Candler,Georgia,"32,024","33,649","36,613"
Carroll,Georgia,"38,273","39,725","42,058"
Catoosa,Georgia,"34,882","36,030","38,815"
Charlton,Georgia,"24,465","24,884","27,192"
Chatham,Georgia,"47,256","48,545","51,805"
Chattahoochee,Georgia,"29,964","30,433","33,166"
Chattooga,Georgia,"30,296","31,069","33,855"
Cherokee,Georgia,"52,052","53,774","56,278"
Clarke,Georgia,"33,481","34,935","37,588"
Clay,Georgia,"32,081","34,175","38,731"
Clayton,Georgia,"27,430","28,329","32,702"
Clinch,Georgia,"36,689","38,551","44,238"
Cobb,Georgia,"57,762","60,383","63,214"
Coffee,Georgia,"31,761","32,880","35,507"
Colquitt,Georgia,"32,728","33,793","37,418"
Columbia,Georgia,"49,844","51,534","54,420"
Cook,Georgia,"32,303","33,589","36,301"
Coweta,Georgia,"47,395","49,042","52,106"
Crawford,Georgia,"33,841","34,633","37,563"
Crisp,Georgia,"32,341","34,299","37,250"
Dade,Georgia,"35,561","34,992","37,327"
Dawson,Georgia,"45,988","46,101","48,170"
Decatur,Georgia,"35,527","37,197","40,879"
DeKalb,Georgia,"51,310","52,950","56,428"
Dodge,Georgia,"30,026","31,116","33,419"
Dooly,Georgia,"29,886","32,995","34,582"
Dougherty,Georgia,"34,246","35,951","40,161"
Douglas,Georgia,"35,406","36,772","40,264"
Early,Georgia,"35,805","39,225","42,889"
Echols,Georgia,"28,002","28,417","31,945"
Effingham,Georgia,"41,839","41,988","45,069"
Elbert,Georgia,"35,669","35,899","38,414"
Emanuel,Georgia,"31,778","33,463","37,678"
Evans,Georgia,"33,769","34,065","37,408"
Fannin,Georgia,"36,459","38,128","39,796"
Fayette,Georgia,"66,106","68,696","71,384"
Floyd,Georgia,"37,593","38,630","41,238"
Forsyth,Georgia,"63,462","64,919","67,859"
Franklin,Georgia,"35,349","34,783","35,134"
Fulton,Georgia,"87,395","92,961","95,683"
Gilmer,Georgia,"35,252","35,979","37,542"
Glascock,Georgia,"32,979","34,576","36,615"
Glynn,Georgia,"46,614","47,795","50,480"
Gordon,Georgia,"34,849","35,882","37,759"
Grady,Georgia,"34,108","35,195","37,725"
Greene,Georgia,"60,073","60,578","61,326"
Gwinnett,Georgia,"41,877","43,573","46,886"
Habersham,Georgia,"34,002","35,006","36,691"
Hall,Georgia,"44,831","46,409","48,759"
Hancock,Georgia,"29,983","30,931","33,557"
Haralson,Georgia,"36,186","37,319","39,401"
Harris,Georgia,"47,669","49,048","51,168"
Hart,Georgia,"37,741","37,980","39,402"
Heard,Georgia,"31,404","32,162","34,362"
Henry,Georgia,"39,521","40,305","43,812"
Houston,Georgia,"42,784","43,847","46,579"
Irwin,Georgia,"32,984","34,748","38,364"
Jackson,Georgia,"43,180","42,927","45,099"
Jasper,Georgia,"37,560","38,411","40,541"
Jeff Davis,Georgia,"29,901","31,948","34,341"
Jefferson,Georgia,"32,684","34,766","39,544"
Jenkins,Georgia,"28,688","30,524","33,497"
Johnson,Georgia,"24,822","25,343","27,965"
Jones,Georgia,"37,154","38,843","41,436"
Lamar,Georgia,"33,093","34,457","37,303"
Lanier,Georgia,"27,463","28,598","31,021"
Laurens,Georgia,"37,385","38,249","41,650"
Lee,Georgia,"46,245","47,926","51,908"
Liberty,Georgia,"36,766","36,969","40,087"
Lincoln,Georgia,"36,247","37,797","40,424"
Long,Georgia,"27,610","28,002","29,738"
Lowndes,Georgia,"37,150","38,136","41,117"
Lumpkin,Georgia,"38,117","39,041","41,181"
McDuffie,Georgia,"35,763","37,740","41,111"
McIntosh,Georgia,"31,032","31,770","34,500"
Macon,Georgia,"29,773","31,843","33,955"
Madison,Georgia,"37,075","37,625","38,890"
Marion,Georgia,"29,193","29,832","31,621"
Meriwether,Georgia,"34,437","35,604","39,121"
Miller,Georgia,"43,499","46,158","49,844"
Mitchell,Georgia,"33,947","36,448","39,711"
Monroe,Georgia,"44,774","46,580","48,985"
Montgomery,Georgia,"29,016","30,196","34,061"
Morgan,Georgia,"50,724","52,550","55,032"
Murray,Georgia,"30,402","31,148","33,841"
Muscogee,Georgia,"43,215","44,896","48,080"
Newton,Georgia,"34,033","34,829","38,256"
Oconee,Georgia,"66,432","71,604","71,768"
Oglethorpe,Georgia,"36,686","37,243","38,236"
Paulding,Georgia,"38,249","39,309","42,595"
Peach,Georgia,"36,947","38,915","41,931"
Pickens,Georgia,"47,461","48,712","50,868"
Pierce,Georgia,"35,671","36,889","39,979"
Pike,Georgia,"40,168","41,710","44,311"
Polk,Georgia,"32,097","33,470","36,190"
Pulaski,Georgia,"30,734","31,876","34,636"
Putnam,Georgia,"43,753","45,402","48,498"
Quitman,Georgia,"30,839","30,994","34,810"
Rabun,Georgia,"40,470","41,317","44,160"
Randolph,Georgia,"31,828","33,565","37,204"
Richmond,Georgia,"37,321","38,663","41,999"
Rockdale,Georgia,"35,074","36,434","40,051"
Schley,Georgia,"31,890","33,278","35,588"
Screven,Georgia,"33,563","34,880","37,694"
Seminole,Georgia,"41,511","45,837","48,082"
Spalding,Georgia,"34,319","35,579","38,792"
Stephens,Georgia,"36,804","37,417","40,153"
Stewart,Georgia,"21,687","22,591","25,041"
Sumter,Georgia,"35,051","37,011","40,387"
Talbot,Georgia,"33,694","35,033","38,621"
Taliaferro,Georgia,"32,818","36,923","36,860"
Tattnall,Georgia,"28,268","28,462","30,222"
Taylor,Georgia,"30,456","32,157","33,630"
Telfair,Georgia,"20,755","20,826","22,644"
